ID,ID_клиента,фамилия,кредитный_рейтинг,город,пол,возраст,стаж_в_банке,баланс_депозита,число_продуктов,есть_кредитка,активный_клиент,оценочная_зарплата,ушел_из_банка
0,15709511,Тестов55,754,Астана,Male,40,8,102954.68,2,1,1,149238.35,0
1,15592761,Тестов539,579,Алматы,Female,28,1,,2,1,0,64869.32,0
2,15579914,Тестов275,744,Алматы,Female,56,5,,1,1,0,158816.03,1
3,15669611,Есенгельдиев,697,Алматы,Male,29,2,,2,1,0,55775.72,0
4,15761775,Тестов451,628,Алматы,Female,22,9,,2,1,0,49653.39,0
5,15621409,Тестов478,850,Алматы,Male,29,2,,1,0,0,93835.64,0
6,15633043,Тестов414,588,Алматы,Male,23,2,,2,1,1,130189.72,0
7,15672056,Тестов28,594,Астана,Male,39,8,,2,1,0,155879.57,0
8,15700212,Тестов706,652,Алматы,Female,29,4,152926.4,1,1,1,119882.7,0
9,15777907,Тестов458,683,Атырау,Male,36,2,123047.86,2,1,0,107221.04,0
10,15664270,Тестов142,586,Атырау,Male,33,3,104822.45,2,1,0,141756.32,0
11,15730360,Тестов32,562,Алматы,Female,38,9,,2,1,0,127630.88,0
12,15751177,Тестов627,559,Атырау,Female,55,1,140418.76,1,1,1,151871.84,1
13,15763613,Тестов359,751,Алматы,Male,46,3,,2,1,1,187800.63,0
14,15628992,Тестов698,596,Астана,Female,31,5,,2,0,1,91347.76,0
15,15634896,Тестов315,599,Астана,Male,39,4,,2,1,0,152883.95,0
16,15627848,Тестов696,743,Атырау,Male,32,8,121729.42,2,0,1,80587.27,0
17,15589323,Тестов725,607,Алматы,Female,56,9,112372.96,1,1,1,162858.28,0
18,15654025,Тестов356,712,Алматы,Male,28,3,,2,0,1,182726.22,0
19,15677317,Бекмурзаев,632,Алматы,Male,26,9,,2,1,0,137961.41,0
20,15772381,Тестов760,678,Алматы,Male,32,6,96763.89,1,1,1,125961.48,0
21,15571843,Тестов119,570,Астана,Female,35,6,,2,1,0,183542.08,0
22,15592229,Тестов178,669,Алматы,Male,50,9,,1,1,1,113950.51,1
23,15632345,Тестов416,644,Алматы,Male,38,1,96473.58,1,1,0,79866.73,0
24,15702293,Тестов551,730,Алматы,Female,43,9,,1,1,0,92816.86,1
25,15791777,Тестов249,747,Атырау,Male,27,1,123971.16,1,1,0,100816.29,1
26,15638003,Тестов626,705,Астана,Female,38,7,,2,1,0,71830.1,0
27,15748327,Тестов482,796,Алматы,Female,40,6,,2,1,1,180318.6,0
28,15615797,Тестов32,696,Астана,Male,42,6,,2,0,1,137763.99,0
29,15716347,Тестов570,472,Алматы,Male,47,1,,2,1,0,131736.23,0
30,15785519,Тестов566,594,Алматы,Female,52,0,,2,0,0,125427.42,1
31,15731519,Тестов369,685,Алматы,Male,28,4,,1,1,0,176692.65,0
32,15642991,Тестов488,547,Алматы,Female,38,5,132730.17,1,1,1,62980.96,0
33,15573851,Тестов456,561,Астана,Female,32,7,113348.5,1,1,1,62688.55,0
34,15683560,Тестов538,633,Астана,Male,30,8,,2,1,0,60778.11,0
35,15670562,Тестов468,656,Алматы,Male,33,9,,2,1,0,75664.56,0
